"","A X4x12","A X3x13","A X4x14","A X6x12","A X5x13","A X7x11","A X3x10","A X4x13","A X2x13","A X5x14","A X8x10","A X3x14","A X5x12","B X15x19","B X17x10","B X18x8","B X15x20","B X16x19","B X20x22","B X15x18","B X19x9","B X18x9","B X18x7","B X15x17","C X15x4","C X16x7","C X18x5","C X19x6","C X15x6","C X16x2","C X14x2","C X16x4","C X18x6","C X15x2","C X17x2","D X17x20","D X10x7","D X15x4","D X8x12","D X9x9","D X11x15","D X14x8","D X12x8","D X4x12","D X3x17","D X16x7","D X6x14","D X17x6","D X18x5","D X10x9","D X11x4","D X12x7","D X13x6","D X4x17","D X8x7","D X9x6","D X10x5","D X11x8","D X14x7","D X15x6","D X7x16","D X8x14","D X10x12","D X12x10","D X13x11","D X3x13","D X4x14","D X5x15","D X6x12","D X9x15","D X11x6","D X8x2","D X9x3","D X14x2","D X7x15","D X6x16","D X8x9","D X9x4","D X10x3","D X11x10","D X14x5","D X12x13","D X6x11","D X18x6","D X9x13","D X10x10","D X11x3","D X12x4","D X15x9","D X13x9","D X3x15","D X5x13","D X7x11","D X12x3","D X13x2","D X5x16","D X16x8","D X19x5","D X17x21","D X10x6","D X15x5","D X8x11","D X9x10","D X11x12","D X12x15","D X15x2","D X16x6","D X17x7","D X7x12","D X10x8","D X11x5","D X12x6","D X13x7","D X13x4","D X5x11","D X4x16","D X9x7","D X10x4","D X11x9","D X14x6","D X15x7","D X9x12","D X7x17","D X8x13","D X9x8","D X10x15","D X11x14","D X14x9","D X12x9","D X4x13","D X3x16","D X6x15","D X17x5","D X7x14","D X11x7","D X13x5","D X4x18","D X8x8","D X9x5","D X11x11","D X14x4","D X12x12","D X8x15","D X9x14","D X10x13","D X9x16","D X12x11","D X13x10","D X3x12","D X4x15","D X5x14","D X3x18","D X6x13","D X12x2","D X13x3","D X5x17","D X20x5","D X8x3","D X9x2","D X14x3","D X6x17","D X8x10","D X9x11","D X8x16","D X11x13","D X14x10","D X16x5","D X7x13","D X10x11","D X11x2","D X12x5","D X15x8","D X13x8","D X3x14","D X5x12","E X18x10","E X10x14","E X14x7","E X16x17","E X16x8","E X19x10","E X20x13","E X11x12","E X18x11","E X22x13","E X22x14","E X13x15","E X16x18","F X22x19","F X24x14","F X25x15","F X28x10","F X19x13","F X17x13","F X20x14","F X23x19","F X21x15","F X25x16","F X15x13","F X17x6","F X18x5","F X21x17","F X16x11","F X17x10","F X22x17","F X24x16","F X25x13","F X19x15","F X18x8","F X21x13","F X14x14","F X15x15","F X16x13","F X19x8","F X17x8","F X24x18","F X19x17","F X18x6","F X18x12","F X14x12","F X20x17","F X19x5","F X22x18","F X24x13","F X26x15","F X16x15","F X17x14","F X20x13","F X18x13","F X23x16","F X22x15","F X23x14","F X25x17","F X16x6","F X17x7","F X21x18","F X15x16","F X17x11","F X22x16","F X18x16","F X24x15","F X25x14","F X26x13","F X19x12","F X17x12","F X20x15","F X23x18","F X21x14","F X15x12","F X17x5","F X21x16","F X16x12","F X18x14","F X23x13","F X24x17","F X19x14","F X21x12","F X14x15","F X15x14","F X20x16","F X26x14","F X16x14","F X17x15","F X20x12","F X23x17","F X22x14","F X18x15","F X23x15","F X24x19","F X16x5","F X19x16","F X18x7","F X14x13","F X26x16","F X23x20"
"EML3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,1,0,3,0,0,0,0,0,1,2,1,0,0,0,2,1,0,0,0,0,0,1,1,0,1,0,2,1,0,0,1,3,0,2,0,0,3,0,1,0,0,3,0,0,0,0,0,0,0,1,0,3,0,0,2,0,0,1,2,0,0,3,0,6,0,0,3,1,0,0,0,0,1,0,0,0,5,0,0,0,1,0,4,2,0,0,1,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,4,1,0,0,3,0,2,0,5,0,6,2,3,7,0,0,7,1,0,0,5,5,1,0,5,1,2,2,0,0,0,7,0,0,0,0,0,2,4,0,1,1,14,0,0,19,12,7,0,0,0,0,0,0,0,0,7,1,7,6,0,0,2,2,0,0,4,4,0,4,1,0,1,5,0,8,0,9,0,0,0,0,0
"PCNT",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,7,0,5,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,2,0,0,3,0,0,1,1,0,0,0,0,4,1,4,0,1,2,0,0,0,0,2,0,0,2,0,0,6,0,0,0,0,0,1,0,1,4,0,0,0,2,0,0,0,1,0,0,1,0,0,2,0,4,0,3,0,0,0,0,0,0,0
"CBY1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,2,0,1,0,0,0,2,0,0,0
"PLCG1",0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,2,2,0,0,0,0,2,0,1,0,0,5,0,0,0,0,4,2,0,1,1,1,0,2,2,0,3,0,0,0,1,0,0,3,0,0,0,0,0,0,3,0,0,2,6,2,2,1,2,0,0,1,0,0,0,0,0,0,0,2,3,0,8,0,0,5,0,0,0,0,0
"FAM134C",0,0,0,4,0,0,0,0,0,2,0,0,13,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,2,1,0,1,10,1,0,5,0,5,0,1,0,2,0,1,5,0,2,0,0,0,1,1,5,0,0,0,0,6,1,0,0,3,5,0,0,0,0,1,2,0,2,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,1,0,0,0,0,2,0,3,0,0,4,0,0,1,1,3,0,18,6,1,5,0,0,0,2,0,2,0,0,1,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,6,6,0,1,3,0,5,7,0,0,11,0,2,0,13,0,9,11,0,15,9,18,0,1,2,0,0,6,0,0,2,6,6,0,4,2,12,0,8,2,0,6,9,2,0,1,26,0,8,12,6,0,0,0,3,3,9,3,0,0,24,1,4,8,10,8,5,2,2,0,0,2,0,0,0,1,9,0,2,6,0,1,8,0,0,5,2
"PRMT2",0,0,0,0,7,0,0,0,0,0,7,0,0,10,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,5,3,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,1,0,0,1,1,0,0,1,1,4,0,0,6,6,0,0,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,5,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,4,2,2,0,4,0,0,3,0,0,0,1,0,3,0,0,0,0,1,0,1,1,2,0,0,0,0,0,2,3,0,2,0,0,2,0,5,1,0,4,0,0,0,0,0,0,1,3,0,1,4,0,5,3,0,3,0,0,0,0,1,0,4,0,0,0,1,1,0,3,3,3,7,0,0,2,2
"USP47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,10,0,3,0,27,0,4,2,2,0,0,0,0,1,5,0,0,0,0,0,2,1,0,0,0,0,0,0,0,7,0,0,0,0,0,3,6,0,0,0,2,0,0,0,8,0,2,0,0,0,0,5,1,8,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0
"YLPM1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,16,0,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,2,0,2,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,4,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,6,0,3,0,0,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,0,0,0,1,4,0,0,0,0,0,4,0,1,1,5,0,3,1,0,9,0,2,0,0,0,0,0,1,0,2,0,0,2,0,4,0,0,0,0,0
"SDCCAG3",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,14,0,0,0,0,0,0,6,4,0,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,12,0,0,0,16,0,0,0,0,0,0,0,0,0,7,0,4,1,0,2,5,2,0,0,0,0,0,0,0,2,5,0,5,0,2,9,2,2,6,6,0,0,0,0,0,0,2,0,0,13,5,0,17,7,12,8,0,0,1,0,5,2,0,5,3,11,0,6,0,0,1,12,0,0,0,0,0
"ZC3HAV1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,5,0,0,5,0,0,7,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,2,6,1,0,0,0,8,4,0,0,0,0,2,0,0,7,5,0,0,0,0,3,3,0,0,0,7,0,0,0,2,0,12,6,0,6,0,0,2,0,2,10,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0
"LSM14A",0,0,0,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,2,11,6,6,5,0,6,0,0,0,0,0,1,0,4,0,2,2,0,0,0,2,0,0,0,0,2,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,3,2,5,0,1,0,2,2,0,0,0,0,6,1,0,1,8,0,0,0,3,1,3,0,0,0,0,0,3,0,0,0,0,1,0,2,0,9,0,13,0,0,3,0,0,0,0,2,0,1,3,0,0,1,2,5,14,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,2,0,11,0,7,2,3,12,0,1,0,6,0,1,1,0,9,0,1,0,2,0,0,1,2,3,0,0,6,4,9,0,3,0,5,0,0,0,10,3,5,3,3,0,2,2,0,0,0,0,0,7,8,2,0,7,9,6,0,0,1,0,0,4,2,2,2,1,0,3,0,1,5,4,0,0,0,0,0
"COPZ1",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,10,0,4,8,0,2,0,4,3,3,2,0,1,0,0,2,2,0,0,0,5,0,1,4,9,0,0,6,2,5,0,0,0,0,1,0,3,2,0,0,4,3,2,2,1,5,11,0,0,0,0,8,2,0,0,0,0,0,0,4,0,0,12,2,4,0,0,3,3,31,2,1,2,2,7,0,0,6,0,0,0,0,1,0,0,7,0,4,0,5,0,0,2,1,0,0,10,0,0,0,0,1,0,1,0,2,0,0,0,0,0,4,0,0,0,0,1,12,1,2,0,0,23,0,0,0,0,8,0,0,0,0,0,0,1,6,2,0,0,0,0,3,0,0,1,0,0,0,0,0,2,3,0,10,3,3,1,0,0,4,2,3,0,15,2,0,0,2,5,1,10,3,2,11,14,0,1,4,0,7,3,0,0,5,0,9,9,7,0,0,5,20,3,0,1,19,0,3,6,2,6,0,2,2,2,9,6,6,24,28,1,5,9,24,9,0,5,4,0,3,3,4,2,3,2,2,0,0,8,0,2,0,0,0,0,3
"NFKB1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,2,2,1,1,0,0,0,1,0,5,0,1,0,0,0,0,0,0,11,0,0,0,3,1,0,0,2,0,0,0,19,0,0,0,0,0,2,0,0,4,7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,2,2,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,4,6,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,6,4,3,0,0,0,0,1,0,0,0,1,1,0,1,0,0,6,0,0,0,0,0,0,1
"FBXW4",0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,0,0,2,6,14,2,0,1,7,3,0,1,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,5,1,0,0,0,0,3,0,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,5,2,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,3,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,5,0,0,1,1,0,0,1,2,0,0,0,1,0,0,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,0,0,5,0,0,3,6,12,7,3,1,9,0,5,0,9,4,3,16,0,4,0,2,4,0,13,1,0,0,3,1,3,2,7,3,14,0,10,5,3,0,2,0,28,0,0,5,16,1,3,0,7,1,3,1,0,0,8,0,2,11,11,2,2,11,8,0,0,4,7,0,22,4,0,0,3,3,1,0,0,2,3,0,0,0,0,3,1
"UTP20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0,0,9,3,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HNRNPL",0,0,0,20,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,23,8,8,7,0,13,6,0,0,7,3,9,2,0,0,8,0,6,2,0,0,7,16,0,1,6,4,0,13,15,4,2,1,3,7,0,12,1,1,7,17,0,13,0,0,0,0,5,0,0,31,0,3,9,5,3,23,29,0,11,2,0,0,7,0,2,0,2,15,16,5,5,13,7,8,19,10,1,0,1,12,0,2,14,0,9,4,31,0,5,0,0,4,0,6,1,0,0,28,0,1,0,1,9,0,0,14,6,0,0,0,0,11,24,0,2,6,13,0,0,0,0,14,0,0,8,3,0,0,17,12,7,2,2,0,14,18,13,4,0,0,1,0,0,0,0,0,0,0,0,0,2,1,14,20,5,4,12,0,2,0,16,6,20,4,23,4,16,4,0,0,6,22,3,0,33,8,0,0,2,13,8,11,23,0,4,28,9,7,24,8,5,4,28,8,3,0,26,1,0,25,4,6,9,1,0,2,9,0,0,23,30,26,5,30,22,11,0,6,4,8,13,13,2,12,2,7,7,19,7,11,0,12,0,0,0,8,23
"RING1",4,0,1,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,4,0,0,0,5,0,2,0,0,0,0,0,1,0,8,0,3,4,2,2,17,0,0,3,0,2,6,0,0,8,0,0,0,2,1,0,1,1,0,1,0,2,2,1,6,1,0,6,3,0,0,2,0,0,2,2,5,7,4,0,6,0,3,9,0,0,7,0,3,3,4,1,2,5,0,9,1,1,0,0,1,7,2,0,0,3,0,0,3,5,3,0,2,2,0,1,0,1,0,0,0,1,0,12,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,2,0,8,6,0,3,6,0,12,0,9,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,2,2,0,2,0,17,3,1,0,15,2,22,1,6,2,0,5,0,5,0,0,0,0,6,1,3,1,9,0,6,5,4,2,0,0,5,19,3,1,2,1,12,4,0,3,10,0,2,18,8,2,6,0,0,5,7,0,4,2,14,2,1,6,15,6,0,3,3,0,5,3,0,4,2,12,0,1,3,5,3,3,3,0,3,0,0
"NPRL2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,0,2,1,0,0,0,0,5,1,0,0,0,0,0,1,11,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,13,0,0,0,0,3,0,0,0,0,0,0,0,2,10,0,1,0,0,0,0,0,0,0
"TMEM41B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,7,4,1,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,12,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,18,0,3,5,0,0,14,0,0,0,0,0,0,2,0,1,0,0,0,1,0,3,2,1,0,1,7,0,0,7,0,3,0,0,0,0,0,0,3,0,0,1,0,0,0,4,0,3,1,9,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0,12,0,0,0,0,0,0,0,2,0,0,0,0,0,20,0,0,1,0,0,0,2,0,0,1,0,0,0,2,0,0,12,0,0,0,0,0,0,0,3,0,0,2,0,0,3,1,6,15,4,0,0,0,0,0
"CIAPIN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,2,2,3,0,0,2,0,0,0,3,0,0,0,5,3,0,2,2,2,0,0,0,3,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,0,2,0,0,5,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,2,0,0,2,0,0,4,1,0,1,0,0,0,1,0,0,3,3,0,0,0,0
"ACHE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,2,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,2,3,5,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,3,2,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,2,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,5,0,1,0,0,0,1,0,0,1,3,0,0,0,0,2,1,1,1,8,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,5,5,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,1,0,4,0,5,0,11,1,3,3,25,3,7,0,3,28,0,0,6,10,0,0,1,7,0,1,5,4,3,2,0,0,0,0,0,0,16,4,0,7,4,0,1,5,5,0,0,8,8,18,6,7,0,0,0,2,2,1,18,15,2,8,17,10,13,4,2,4,2,10,0,3,6,3,8,0,3,8,0,8,5,1,6,3,0
"C1QB",17,1,0,2,3,2,3,2,2,0,3,0,0,9,0,0,23,0,0,30,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,6,0,1,2,0,4,0,0,3,0,3,0,3,1,4,0,0,0,1,2,1,3,0,0,3,0,0,3,1,0,0,0,0,0,2,0,1,0,0,0,5,0,2,3,0,8,0,0,1,0,7,3,0,0,3,0,3,2,0,6,0,0,0,1,0,0,13,1,5,0,1,0,2,1,0,1,1,1,11,0,0,1,0,0,3,0,2,1,4,1,0,0,0,2,4,0,0,0,0,0,5,0,0,6,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,2,2,2,0,0,2,2,0,0,0,8,2,1,0,0,0,3,3,0,0,2,0,1,7,0,0,3,2,1,1,0,0,0,2,0,11,1,0,3,0,0,0,3,1,4,0,8,0,4,0,0,0,3,5,0,0,1,3,0,2,0,0,3,0,0,0,0,0,0,0,1,8,0,0,0,5,0,8,3,0,0,0,2
